------------------------------------------------------------------------------
Spectrum  |                  Observed  |      Rel. |     Aki     | Acc. |Type|
          |                 Wavelength |      Int. |   (s^-1)    |      |    |
          |          Vac (µm)          |      (?)  |             |      |    |
------------------------------------------------------------------------------
          |                            |           |             |      |    |
Ar II     |              0.0461080     |         8 |             |      |    |
Ar II     |              0.0464144     |         7 |             |      |    |
Ar II     |              0.0487227     |         2 |             |      |    |
Ar II     |              0.0487264     |         0 |             |      |    |
Ar II     |              0.0488782     |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.0488987     |         0 |             |      |    |
Ar II     |              0.0489196     |       0.5 |             |      |    |
Ar II     |              0.0490698     |       0.5 |             |      |    |
Ar II     |              0.0492418     |         0 |             |      |    |
Ar II     |              0.0494686     |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.0496650     |      0.5* |             |      |    |
Ar II     |              0.0496650     |      0.5* |             |      |    |
Ar II     |              0.049992      |         1 |             |      |    |
Ar II     |              0.0500798     |       0.5 |             |      |    |
Ar II     |              0.0501184     |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.050140      |         1 |             |      |    |
Ar II     |              0.0501993     |         0 |             |      |    |
Ar II     |              0.0502157     |         1 |             |      |    |
Ar II     |              0.0503649     |       0.5 |             |      |    |
Ar II     |              0.050480      |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.0505013     |       0.5 |             |      |    |
Ar II     |              0.0510554     |         1 |             |      |    |
Ar II     |              0.0514310     |         1 |             |      |    |
Ar II     |              0.0518910     |         1 |             |      |    |
Ar II     |              0.0519329     |         1 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.0522791     |         1 |             |      |    |
Ar II     |              0.0524683     |         1 |             |      |    |
Ar II     |              0.0526497     |         1 |             |      |    |
Ar II     |              0.0528640     |       0.5 |             |      |    |
Ar II     |              0.0530494     |        1p |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.0533082     |         1 |             |      |    |
Ar II     |              0.0535072     |       0.5 |             |      |    |
Ar II     |              0.0537140     |         1 |             |      |    |
Ar II     |              0.0537421     |      0.5p |             |      |    |
Ar II     |              0.0540804     |       0.5 |             |      |    |
          |                            |           |             |      |    |
Ar II     |              0.0541299     |       0.5 |             |      |    |
Ar II     |              0.0542911     |         2 |             |      |    |
Ar II     |              0.0543205     |         2 |             |      |    |
Ar II     |              0.0543508     |     0bl,G |             |      |    |
